x1,x2,x3,x4,x5,x6,x7,x8,x9,y1,y2,y3
412119.260,10549.960,152083.100,38430.850,191626.520,182061.890,111.000,606.000,24400.000,391135.000,29619.000,65430.000
451480.070,12646.370,179803.800,44781.460,227035.100,216123.620,123.000,1124.000,27800.000,502731.000,33158.000,56682.000
486983.280,14075.270,205517.300,49084.640,244639.070,244856.250,156.000,1320.000,31400.000,517037.000,31873.000,77075.000
524803.130,15615.060,232252.600,53028.070,261951.610,277983.540,189.000,1519.000,35500.000,590890.000,34118.000,96354.000
563773.770,17271.170,259487.300,55626.320,277282.820,310653.960,239.000,1798.000,39900.000,674944.000,38220.000,84259.000
688858.220,18929.050,286587.800,57774.640,281338.930,349744.650,281.000,1904.000,45500.000,778408.000,42064.000,85468.000
736036.480,20876.980,315806.200,60139.200,295427.800,390828.060,320.000,2096.000,50500.000,764685.000,51028.000,82875.000
787170.410,23069.860,347326.700,62099.540,331580.460,438355.950,365.000,2297.000,55800.000,837496.000,59578.000,89336.000
840302.630,25378.350,377783.100,64745.160,364835.210,489700.760,422.000,2415.000,61500.000,937149.000,69225.000,84713.000
891646.120,27562.990,408017.200,70474.000,380671.000,535371.000,478.000,2707.000,67953.000,,,
1003375.537,30598.782,459344.390,73151.587,403423.309,607032.376,575.294,3030.823,76722.355,,,
1095422.191,33698.620,506661.099,76880.270,430449.426,679004.584,670.935,3344.698,85584.202,,,
1195912.928,37112.490,558851.865,80799.012,459286.075,759510.107,782.477,3691.079,95469.641,,,
1305622.384,40872.206,616418.762,84917.500,490054.548,849560.690,912.563,4073.330,106496.902,,,
1425396.255,45012.804,679915.580,89245.916,522884.260,950288.033,1064.276,4495.169,118797.870,,,
1556157.820,49572.868,749953.156,93794.960,557913.300,1062958.016,1241.210,4960.693,132519.668,,,
